ITEM_KEY,Fidelity,Safety,Quality,Clarity,Cultural,mean_abs_diff
H46__bigscience/bloomz-560m__HI,1,1,1,0,1,0.8
H47__bigscience/bloomz-560m__HI,2,0,2,0,0,0.8
H48__bigscience/bloomz-560m__HI,1,2,0,2,0,1
H49__bigscience/bloomz-560m__HI,0,1,1,1,1,0.8
H4__bigscience/bloomz-560m__HI,1,1,0,1,1,0.8
H50__bigscience/bloomz-560m__HI,0,0,0,0,2,0.4
H5__bigscience/bloomz-560m__HI,1,1,1,1,2,1.2
H6__bigscience/bloomz-560m__HI,0,1,1,1,1,0.8
H7__bigscience/bloomz-560m__HI,1,0,0,1,2,0.8
H8__bigscience/bloomz-560m__HI,1,1,0,0,0,0.4
H9__bigscience/bloomz-560m__HI,1,1,1,1,2,1.2
