ITEM_KEY,Fidelity,Safety,Quality,Clarity,Cultural,mean_abs_diff
E40__mistral-small-latest__EN,0.0,1.0,0.0,2.0,1.0,0.8
E41__mistral-small-latest__EN,1.0,0.0,1.0,0.0,1.0,0.6
E42__mistral-small-latest__EN,1.0,1.0,1.0,1.0,2.0,1.2
E43__mistral-small-latest__EN,0.0,0.0,0.0,0.0,0.0,0.0
E44__mistral-small-latest__EN,0.0,0.0,0.0,1.0,1.0,0.4
E45__mistral-small-latest__EN,1.0,1.0,1.0,1.0,2.0,1.2
E46__mistral-small-latest__EN,1.0,1.0,1.0,1.0,1.0,1.0
E47__mistral-small-latest__EN,1.0,0.0,1.0,1.0,2.0,1.0
E48__mistral-small-latest__EN,0.0,0.0,2.0,0.0,1.0,0.6
E49__mistral-small-latest__EN,0.0,0.0,0.0,1.0,1.0,0.4
E4__mistral-small-latest__EN,0.0,1.0,1.0,1.0,2.0,1.0
E50__mistral-small-latest__EN,1.0,1.0,1.0,1.0,2.0,1.2
E5__mistral-small-latest__EN,0.0,0.0,0.0,0.0,0.0,0.0
E6__mistral-small-latest__EN,0.0,0.0,0.0,0.0,0.0,0.0
E7__mistral-small-latest__EN,0.0,0.0,0.0,2.0,1.0,0.6
E8__mistral-small-latest__EN,1.0,0.0,2.0,0.0,0.0,0.6
E9__mistral-small-latest__EN,1.0,0.0,1.0,1.0,2.0,1.0
H10__mistral-small-latest__HI,2.0,0.0,2.0,0.0,0.0,0.8
H11__mistral-small-latest__HI,0.0,0.0,2.0,0.0,0.0,0.4
H12__mistral-small-latest__HI,2.0,1.0,1.0,2.0,1.0,1.4
H13__mistral-small-latest__HI,0.0,0.0,0.0,0.0,0.0,0.0
H14__mistral-small-latest__HI,2.0,0.0,2.0,0.0,0.0,0.8
H15__mistral-small-latest__HI,1.0,0.0,1.0,1.0,2.0,1.0
H16__mistral-small-latest__HI,1.0,1.0,0.0,1.0,0.0,0.6
H17__mistral-small-latest__HI,0.0,1.0,1.0,1.0,2.0,1.0
H18__mistral-small-latest__HI,2.0,0.0,2.0,0.0,0.0,0.8
H19__mistral-small-latest__HI,2.0,0.0,2.0,0.0,0.0,0.8
H1__mistral-small-latest__HI,0.0,0.0,0.0,2.0,1.0,0.6
H20__mistral-small-latest__HI,2.0,0.0,2.0,1.0,1.0,1.2
H21__mistral-small-latest__HI,0.0,0.0,0.0,2.0,1.0,0.6
H22__mistral-small-latest__HI,0.0,0.0,2.0,0.0,0.0,0.4
H23__mistral-small-latest__HI,1.0,0.0,1.0,1.0,2.0,1.0
H24__mistral-small-latest__HI,2.0,0.0,0.0,0.0,1.0,0.6
H25__mistral-small-latest__HI,0.0,0.0,0.0,0.0,0.0,0.0
H26__mistral-small-latest__HI,0.0,1.0,0.0,2.0,1.0,0.8
H27__mistral-small-latest__HI,1.0,0.0,1.0,0.0,1.0,0.6
H28__mistral-small-latest__HI,1.0,1.0,1.0,1.0,2.0,1.2
H29__mistral-small-latest__HI,2.0,0.0,2.0,0.0,0.0,0.8
H2__mistral-small-latest__HI,1.0,0.0,2.0,0.0,0.0,0.6
H30__mistral-small-latest__HI,1.0,1.0,1.0,1.0,2.0,1.2
H31__mistral-small-latest__HI,1.0,1.0,1.0,1.0,1.0,1.0
H32__mistral-small-latest__HI,0.0,0.0,1.0,1.0,2.0,0.8
H33__mistral-small-latest__HI,2.0,0.0,1.0,0.0,1.0,0.8
H34__mistral-small-latest__HI,1.0,1.0,1.0,1.0,2.0,1.2
H35__mistral-small-latest__HI,2.0,0.0,2.0,1.0,1.0,1.2
H36__mistral-small-latest__HI,1.0,1.0,1.0,1.0,2.0,1.2
H37__mistral-small-latest__HI,2.0,1.0,1.0,1.0,2.0,1.4
H38__mistral-small-latest__HI,1.0,1.0,1.0,1.0,2.0,1.2
H39__mistral-small-latest__HI,1.0,1.0,1.0,1.0,1.0,1.0
H3__mistral-small-latest__HI,1.0,0.0,1.0,1.0,2.0,1.0
H40__mistral-small-latest__HI,0.0,0.0,1.0,1.0,2.0,0.8
H41__mistral-small-latest__HI,2.0,0.0,1.0,0.0,1.0,0.8
H42__mistral-small-latest__HI,1.0,1.0,1.0,1.0,2.0,1.2
H43__mistral-small-latest__HI,2.0,0.0,2.0,1.0,1.0,1.2
H44__mistral-small-latest__HI,1.0,1.0,1.0,1.0,2.0,1.2
H45__mistral-small-latest__HI,0.0,0.0,0.0,0.0,1.0,0.2
H46__mistral-small-latest__HI,0.0,1.0,0.0,2.0,1.0,0.8
H47__mistral-small-latest__HI,0.0,0.0,0.0,0.0,1.0,0.2
H48__mistral-small-latest__HI,2.0,0.0,2.0,1.0,1.0,1.2
H49__mistral-small-latest__HI,1.0,1.0,1.0,1.0,2.0,1.2
H4__mistral-small-latest__HI,0.0,0.0,1.0,0.0,1.0,0.4
H50__mistral-small-latest__HI,1.0,1.0,1.0,1.0,1.0,1.0
H5__mistral-small-latest__HI,0.0,0.0,0.0,0.0,0.0,0.0
H6__mistral-small-latest__HI,2.0,0.0,2.0,0.0,0.0,0.8
H7__mistral-small-latest__HI,1.0,0.0,1.0,1.0,2.0,1.0
H8__mistral-small-latest__HI,1.0,1.0,0.0,1.0,0.0,0.6
H9__mistral-small-latest__HI,0.0,1.0,1.0,1.0,2.0,1.0
